"Variable Code","Country or Area Code","Country or Area","Year(s) Code","Year(s)","Variant Code","Variant","Value"
"12","643","Russian Federation","124","2073","206","Upper 95 PI","140088.825"
"12","643","Russian Federation","124","2073","207","Lower 95 PI","99963.52"
"12","643","Russian Federation","123","2072","2","Medium","121497.299"
"12","643","Russian Federation","123","2072","3","High","146273.286"
"12","643","Russian Federation","123","2072","4","Low","99912.409"
"12","643","Russian Federation","123","2072","5","Constant fertility","112928.209"
"12","643","Russian Federation","123","2072","6","Instant replacement","144109.617"
"12","643","Russian Federation","123","2072","7","Zero migration","114575.762"
"12","643","Russian Federation","123","2072","8","Constant mortality","102240.961"
"12","643","Russian Federation","123","2072","9","No change","93884.024"
"12","643","Russian Federation","123","2072","10","Momentum","117240.609"
"12","643","Russian Federation","123","2072","16","Instant replacement zero migration","136503.942"
"12","643","Russian Federation","123","2072","202","Median PI","121497.299"
"12","643","Russian Federation","123","2072","203","Upper 80 PI","133806.736"
"12","643","Russian Federation","123","2072","204","Lower 80 PI","108317.211"
"12","643","Russian Federation","123","2072","206","Upper 95 PI","140152.359"
"12","643","Russian Federation","123","2072","207","Lower 95 PI","100838.466"
"12","643","Russian Federation","122","2071","2","Medium","121987.126"
"12","643","Russian Federation","122","2071","3","High","145987.304"
"12","643","Russian Federation","122","2071","4","Low","100985.311"
"12","643","Russian Federation","122","2071","5","Constant fertility","113712.5"
"12","643","Russian Federation","122","2071","6","Instant replacement","144046.038"
